31.6337 	DATA 	Keypress: right
31.6487 	EXP 	fixation: autoDraw = False
31.6487 	EXP 	grating: autoDraw = False
31.6487 	EXP 	grating: ori = 4.0
31.6487 	EXP 	fixation: autoDraw = True
32.1318 	EXP 	fixation: autoDraw = False
32.1318 	EXP 	grating: autoDraw = True
32.4340 	EXP 	grating: autoDraw = False
32.4838 	DATA 	Keypress: right
32.4989 	EXP 	fixation: autoDraw = False
32.4989 	EXP 	grating: autoDraw = False
32.4989 	EXP 	grating: ori = -4.0
32.4989 	EXP 	fixation: autoDraw = True
32.9819 	EXP 	fixation: autoDraw = False
32.9819 	EXP 	grating: autoDraw = True
33.2823 	EXP 	grating: autoDraw = False
33.4343 	DATA 	Keypress: left
33.4486 	EXP 	fixation: autoDraw = False
33.4486 	EXP 	grating: autoDraw = False
33.4486 	EXP 	grating: ori = 3.5
33.4486 	EXP 	fixation: autoDraw = True
33.9491 	EXP 	fixation: autoDraw = False
33.9491 	EXP 	grating: autoDraw = True
34.2491 	EXP 	grating: autoDraw = False
34.5507 	DATA 	Keypress: right
34.5652 	EXP 	fixation: autoDraw = False
34.5652 	EXP 	grating: autoDraw = False
34.5652 	EXP 	grating: ori = -3.5
34.5652 	EXP 	fixation: autoDraw = True
35.0653 	EXP 	fixation: autoDraw = False
35.0653 	EXP 	grating: autoDraw = True
35.3649 	EXP 	grating: autoDraw = False
35.5844 	DATA 	Keypress: left
35.5984 	EXP 	fixation: autoDraw = False
35.5984 	EXP 	grating: autoDraw = False
35.5984 	EXP 	grating: ori = -3.5
35.5984 	EXP 	fixation: autoDraw = True
36.0984 	EXP 	fixation: autoDraw = False
36.0984 	EXP 	grating: autoDraw = True
36.3990 	EXP 	grating: autoDraw = False
36.4675 	DATA 	Keypress: left
36.4816 	EXP 	fixation: autoDraw = False
36.4816 	EXP 	grating: autoDraw = False
36.4816 	EXP 	grating: ori = 3.0
36.4816 	EXP 	fixation: autoDraw = True
36.9821 	EXP 	fixation: autoDraw = False
36.9821 	EXP 	grating: autoDraw = True
37.2818 	EXP 	grating: autoDraw = False
37.5843 	DATA 	Keypress: right
