staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
33,0.5,4.0,32.498864100081846,,32.482839700067416,32.498864100081846,32.981911400100216,32.981911400100216,32.981911400100216,33.28225739998743,33.433126900112256,left,-4.0,1,1,0.44176320009864867,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
34,0.5,3.5,33.44856430008076,,33.433317800052464,33.44856430008076,33.94912780006416,33.94912780006416,33.94912780006416,34.24906810000539,34.5495033999905,right,3.5,1,1,0.5964771998114884,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
35,0.5,3.5,34.56518999999389,,34.549746700096875,34.56518999999389,35.06526229996234,35.06526229996234,35.06526229996234,35.364929100032896,35.583269600057974,left,-3.5,1,1,0.5115028999280185,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
36,0.5,3.5,35.59840440005064,,35.583446900127456,35.59840440005064,36.09841870004311,36.09841870004311,36.09841870004311,36.398969900095835,36.4662172999233,left,-3.5,1,1,0.36289170011878014,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
37,0.5,3.0,36.48156809993088,,36.466395100113004,36.48156809993088,36.98214350012131,36.98214350012131,36.98214350012131,37.281848000129685,37.582979399943724,right,3.0,1,1,0.585026300046593,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
38,0.5,3.0,37.5985626000911,,37.583213099977,37.5985626000911,38.098655600100756,38.098655600100756,38.098655600100756,38.398903999943286,38.53250420000404,right,3.0,1,1,0.4175342000089586,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
39,0.5,3.0,38.548354800092056,,38.53268350008875,38.548354800092056,39.0322231000755,39.0322231000755,39.0322231000755,39.33238109992817,39.599308900069445,left,-3.0,1,1,0.559980200137943,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
40,0.5,2.5,39.61535460012965,,39.59949199995026,39.61535460012965,40.11543840006925,40.11543840006925,40.11543840006925,40.41521740006283,40.600454099942,right,2.5,1,1,0.48231450002640486,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
41,0.5,2.5,40.61479409993626,,40.60064149997197,40.61479409993626,41.114974699914455,41.114974699914455,41.114974699914455,41.415265900082886,41.59923480008729,right,2.5,1,1,0.4678970999084413,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
42,0.5,2.5,41.61555980006233,,41.59941720007919,41.61555980006233,42.11515840003267,42.11515840003267,42.11515840003267,42.4153978000395,42.549353800015524,right,2.5,1,1,0.4183096999768168,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
43,0.5,2.0,42.56517000007443,,42.54958559991792,42.56517000007443,43.04843940003775,43.04843940003775,43.04843940003775,43.348728799959645,43.44966339995153,right,2.0,1,1,0.3864558001514524,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
44,0.5,2.0,43.464875699952245,,43.44984299992211,43.464875699952245,43.948616800131276,43.948616800131276,43.948616800131276,44.248357800068334,44.48235800000839,right,2.0,1,1,0.5268038001377136,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
45,0.5,2.0,44.49816119996831,,44.48253950010985,44.49816119996831,44.98212569998577,44.98212569998577,44.98212569998577,45.281668399926275,45.39913620008156,right,2.0,1,1,0.40382890007458627,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
46,0.5,1.5,45.41556610004045,,45.39932970004156,45.41556610004045,45.898532799910754,45.898532799910754,45.898532799910754,46.19844350009225,46.299239499960095,right,1.5,1,1,0.38944709999486804,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
47,0.5,1.5,46.31478159991093,,46.29942060005851,46.31478159991093,46.799099900061265,46.799099900061265,46.799099900061265,47.098217400023714,47.28282910003327,right,1.5,1,1,0.4768137999344617,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
48,0.5,1.5,47.29845130001195,,47.283016100060195,47.29845130001195,47.798738500103354,47.798738500103354,47.798738500103354,48.09882290009409,48.249539700103924,right,1.5,1,1,0.44942770013585687,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
49,0.5,1.0,48.2654897000175,,48.24972760002129,48.2654897000175,48.765064700040966,48.765064700040966,48.765064700040966,49.06498029991053,49.38288310007192,right,1.0,0,0,0.6132515000645071,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
50,0.5,1.5,49.398145500104874,,49.38306550006382,49.398145500104874,49.89830240001902,49.89830240001902,49.89830240001902,50.19842980010435,50.44999950006604,right,1.5,1,1,0.5506380000151694,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
51,0.5,1.5,50.465053000021726,,50.450181500054896,50.465053000021726,50.964705399936065,50.964705399936065,50.964705399936065,51.264787500025705,51.5160509000998,left,-1.5,1,1,0.547275599790737,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
52,0.5,1.5,51.53181770001538,,51.516234799986705,51.53181770001538,52.01534610008821,52.01534610008821,52.01534610008821,52.31541540008038,52.58236959995702,right,1.5,1,1,0.5603259999770671,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
53,0.5,1.0,52.5983190999832,,52.5825606000144,52.5983190999832,53.081736699910834,53.081736699910834,53.081736699910834,53.381676899967715,53.64916840009391,right,1.0,1,1,0.5618336000479758,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
54,0.5,1.0,53.6647572000511,,53.64935349998996,53.6647572000511,54.165161499986425,54.165161499986425,54.165161499986425,54.4648544001393,54.78264140011743,right,1.0,1,1,0.607433500001207,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
55,0.5,1.0,54.79836870008148,,54.78282309998758,54.79836870008148,55.29821759997867,55.29821759997867,55.29821759997867,55.59802970010787,55.815772200003266,right,1.0,1,1,0.508598200045526,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
56,0.5,1.0,55.83180529996753,,55.816006700042635,55.83180529996753,56.314862000057474,56.314862000057474,56.314862000057474,56.6152890000958,56.88277140003629,left,-1.0,1,1,0.5502753001637757,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
57,0.5,1.0,56.89885780005716,,56.88297039992176,56.89885780005716,57.39785149996169,57.39785149996169,57.39785149996169,57.69838270009495,57.81594260013662,left,-1.0,1,1,0.4091938000638038,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
58,0.5,1.0,57.83144599990919,,57.81612979993224,57.83144599990919,58.33146609994583,58.33146609994583,58.33146609994583,58.63189680012874,58.6992246999871,left,-1.0,1,1,0.3587698999326676,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
59,0.5,1.0,58.71510750008747,,58.69940789998509,58.71510750008747,59.21499380003661,59.21499380003661,59.21499380003661,59.514569600112736,59.649127800017595,left,-1.0,1,1,0.42251150007359684,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
60,0.5,1.0,59.66512080002576,,59.64935810002498,59.66512080002576,60.1480259001255,60.1480259001255,60.1480259001255,60.44819790008478,60.54966529994272,left,-1.0,1,1,0.3885507001541555,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
61,0.5,1.0,60.564769400050864,,60.54984500003047,60.564769400050864,61.06514069996774,61.06514069996774,61.06514069996774,61.365209300071,61.582721600076184,right,1.0,0,0,0.5086978001054376,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
62,0.5,1.5,61.598379499977455,,61.58290529996157,61.598379499977455,62.0813428000547,62.0813428000547,62.0813428000547,62.38141970010474,62.74888369999826,right,1.5,1,1,0.6613381998613477,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
63,0.5,1.5,62.764500400051475,,62.74906549998559,62.764500400051475,63.24815350002609,63.24815350002609,63.24815350002609,63.54859589994885,63.76565650012344,right,1.5,0,0,0.5123191999737173,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
64,0.5,2.0,63.7813693000935,,63.76584120001644,63.7813693000935,64.26444990001619,64.26444990001619,64.26444990001619,64.56496210000478,64.91583890002221,right,2.0,1,1,0.646227200049907,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
65,0.5,2.0,64.93168259994127,,64.91601820010692,64.93168259994127,65.41502119996585,65.41502119996585,65.41502119996585,65.71471219998784,66.03301670006476,right,2.0,1,1,0.6075832999777049,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
